sra:SRR5242720	SRP099194-SRR5242720
sra:SRR964802	SRP029464-SRR964802
sra:SRR964801	SRP029464-SRR964801
sra:SRR964800	SRP029464-SRR964800
sra:SRR964799	SRP029464-SRR964799
sra:SRR964798	SRP029464-SRR964798
sra:SRR964797	SRP029464-SRR964797
sra:SRR964796	SRP029464-SRR964796
sra:SRR964795	SRP029464-SRR964795
sra:SRR964794	SRP029464-SRR964794
sra:SRR964793	SRP029464-SRR964793
sra:SRR964792	SRP029464-SRR964792
sra:SRR964791	SRP029464-SRR964791
sra:SRR964790	SRP029464-SRR964790
sra:SRR5277343	SRP100479-SRR5277343
sra:SRR5277344	SRP100479-SRR5277344
sra:SRR5277345	SRP100479-SRR5277345
sra:SRR5277346	SRP100479-SRR5277346
sra:SRR5277347	SRP100479-SRR5277347
sra:SRR5277348	SRP100479-SRR5277348
sra:SRR5277349	SRP100479-SRR5277349
sra:SRR5277350	SRP100479-SRR5277350
sra:SRR5277351	SRP100479-SRR5277351
sra:SRR5277352	SRP100479-SRR5277352
sra:SRR5277353	SRP100479-SRR5277353
sra:SRR5277354	SRP100479-SRR5277354
sra:SRR5277355	SRP100479-SRR5277355
sra:SRR5277356	SRP100479-SRR5277356
sra:SRR5277357	SRP100479-SRR5277357
sra:SRR5277358	SRP100479-SRR5277358
sra:SRR5277359	SRP100479-SRR5277359
sra:SRR5277360	SRP100479-SRR5277360
sra:SRR5277361	SRP100479-SRR5277361
sra:SRR5277362	SRP100479-SRR5277362
sra:SRR5277363	SRP100479-SRR5277363
sra:SRR5277364	SRP100479-SRR5277364
sra:SRR5277365	SRP100479-SRR5277365
sra:SRR5277366	SRP100479-SRR5277366
sra:SRR4297979	SRP090506-SRR4297979
sra:SRR4297980	SRP090506-SRR4297980
sra:SRR4297981	SRP090506-SRR4297981
sra:SRR4297982	SRP090506-SRR4297982
sra:SRR4297983	SRP090506-SRR4297983
sra:SRR4297984	SRP090506-SRR4297984
sra:SRR4297985	SRP090506-SRR4297985
sra:SRR4297986	SRP090506-SRR4297986
sra:SRR4297987	SRP090506-SRR4297987
sra:SRR4297988	SRP090506-SRR4297988
sra:SRR4297989	SRP090506-SRR4297989
sra:SRR4297990	SRP090506-SRR4297990
sra:SRR4297991	SRP090506-SRR4297991
sra:SRR4297992	SRP090506-SRR4297992
sra:SRR2063284	SRP059509-SRR2063284
sra:SRR2063285	SRP059509-SRR2063285
sra:SRR2063286	SRP059509-SRR2063286
sra:SRR2063287	SRP059509-SRR2063287
sra:SRR2063288	SRP059509-SRR2063288
sra:SRR2063289	SRP059509-SRR2063289
sra:SRR2063290	SRP059509-SRR2063290
sra:SRR2063291	SRP059509-SRR2063291
sra:SRR2063292	SRP059509-SRR2063292
sra:SRR2063293	SRP059509-SRR2063293
